kind,date,mode_price
だいこん,20220502,982.27344
だいこん,20220506,981.2111
だいこん,20220507,979.2666
だいこん,20220509,980.99054
だいこん,20220510,981.43524
だいこん,20220512,985.07306
だいこん,20220513,985.07306
だいこん,20220514,984.53156
だいこん,20220516,984.53156
だいこん,20220517,984.53156
だいこん,20220519,984.53156
だいこん,20220520,984.53156
だいこん,20220521,983.99054
だいこん,20220523,985.1004
だいこん,20220524,985.1004
だいこん,20220526,984.8162
だいこん,20220527,985.18475
だいこん,20220528,985.18475
だいこん,20220530,982.7868
だいこん,20220531,983.0555
にんじん,20220502,1409.6968
にんじん,20220506,1406.1339
にんじん,20220507,1406.1339
にんじん,20220509,1405.6792
にんじん,20220510,1401.6241
にんじん,20220512,1400.6337
にんじん,20220513,1400.6337
にんじん,20220514,1400.3871
にんじん,20220516,1406.3737
にんじん,20220517,1400.3422
にんじん,20220519,1404.6237
にんじん,20220520,1404.6237
にんじん,20220521,1406.185
にんじん,20220523,1405.2145
にんじん,20220524,1405.2145
にんじん,20220526,1407.8805
にんじん,20220527,1409.0543
にんじん,20220528,1402.373
にんじん,20220530,1417.1461
にんじん,20220531,1411.9344
キャベツ,20220502,936.3462
キャベツ,20220506,915.7137
キャベツ,20220507,915.7137
キャベツ,20220509,911.31573
キャベツ,20220510,911.31573
キャベツ,20220512,911.8654
キャベツ,20220513,911.8654
キャベツ,20220514,915.90643
キャベツ,20220516,915.90643
キャベツ,20220517,912.07196
キャベツ,20220519,911.85236
キャベツ,20220520,911.85236
キャベツ,20220521,911.85236
キャベツ,20220523,912.8125
キャベツ,20220524,896.66583
キャベツ,20220526,903.9373
キャベツ,20220527,894.90497
キャベツ,20220528,894.90497
キャベツ,20220530,895.9504
キャベツ,20220531,892.82587
レタス,20220502,1727.5492
レタス,20220506,1718.0356
レタス,20220507,1713.6761
レタス,20220509,1700.6305
レタス,20220510,1700.6305
レタス,20220512,1698.7633
レタス,20220513,1689.8154
レタス,20220514,1689.9108
レタス,20220516,1683.8506
レタス,20220517,1683.8506
レタス,20220519,1682.027
レタス,20220520,1682.027
レタス,20220521,1682.027
レタス,20220523,1682.5865
レタス,20220524,1682.5865
レタス,20220526,1680.859
レタス,20220527,1694.6127
レタス,20220528,1686.4535
レタス,20220530,1667.1041
レタス,20220531,1699.8746
はくさい,20220502,1185.4664
はくさい,20220506,1182.128
はくさい,20220507,1182.128
はくさい,20220509,1182.128
はくさい,20220510,1182.128
はくさい,20220512,1182.128
はくさい,20220513,1182.128
はくさい,20220514,1182.128
はくさい,20220516,1182.128
はくさい,20220517,1182.3568
はくさい,20220519,1182.3568
はくさい,20220520,1182.3568
はくさい,20220521,1182.3568
はくさい,20220523,1183.679
はくさい,20220524,1184.8718
はくさい,20220526,1173.8625
はくさい,20220527,1173.8625
はくさい,20220528,1172.6023
はくさい,20220530,1172.5066
はくさい,20220531,1171.0062
こまつな,20220502,121.47284
こまつな,20220506,120.704185
こまつな,20220507,121.10848
こまつな,20220509,121.06417
こまつな,20220510,121.02254
こまつな,20220512,121.10001
こまつな,20220513,121.181496
こまつな,20220514,121.16742
こまつな,20220516,121.16593
こまつな,20220517,121.005714
こまつな,20220519,120.68093
こまつな,20220520,120.87296
こまつな,20220521,120.87296
こまつな,20220523,121.007034
こまつな,20220524,121.007034
こまつな,20220526,121.24634
こまつな,20220527,121.322556
こまつな,20220528,121.28351
こまつな,20220530,120.44167
こまつな,20220531,120.51323
ほうれんそう,20220502,106.34317
ほうれんそう,20220506,101.439674
ほうれんそう,20220507,101.284874
ほうれんそう,20220509,101.12256
ほうれんそう,20220510,101.02451
ほうれんそう,20220512,101.07795
ほうれんそう,20220513,101.133354
ほうれんそう,20220514,101.133354
ほうれんそう,20220516,101.63674
ほうれんそう,20220517,101.60181
ほうれんそう,20220519,101.86917
ほうれんそう,20220520,101.674355
ほうれんそう,20220521,101.5198
ほうれんそう,20220523,101.50671
ほうれんそう,20220524,101.48504
ほうれんそう,20220526,101.52435
ほうれんそう,20220527,101.71905
ほうれんそう,20220528,101.61329
ほうれんそう,20220530,105.43155
ほうれんそう,20220531,105.2983
ねぎ,20220502,1706.9247
ねぎ,20220506,1709.4098
ねぎ,20220507,1698.1178
ねぎ,20220509,1698.2965
ねぎ,20220510,1697.4955
ねぎ,20220512,1694.5563
ねぎ,20220513,1690.5277
ねぎ,20220514,1691.627
ねぎ,20220516,1667.6519
ねぎ,20220517,1668.401
ねぎ,20220519,1663.3444
ねぎ,20220520,1662.9672
ねぎ,20220521,1661.8016
ねぎ,20220523,1665.3589
ねぎ,20220524,1667.2393
ねぎ,20220526,1677.8519
ねぎ,20220527,1680.8345
ねぎ,20220528,1683.3086
ねぎ,20220530,1687.524
ねぎ,20220531,1676.8174
きゅうり,20220502,1595.5317
きゅうり,20220506,1593.3405
きゅうり,20220507,1571.5825
きゅうり,20220509,1556.806
きゅうり,20220510,1557.504
きゅうり,20220512,1557.504
きゅうり,20220513,1557.4434
きゅうり,20220514,1557.4072
きゅうり,20220516,1554.2975
きゅうり,20220517,1554.5844
きゅうり,20220519,1555.0
きゅうり,20220520,1555.8187
きゅうり,20220521,1556.8646
きゅうり,20220523,1555.787
きゅうり,20220524,1558.4537
きゅうり,20220526,1559.1421
きゅうり,20220527,1559.8344
きゅうり,20220528,1559.2123
きゅうり,20220530,1556.1578
きゅうり,20220531,1553.9662
トマト,20220502,1314.2406
トマト,20220506,1303.4515
トマト,20220507,1304.466
トマト,20220509,1299.6931
トマト,20220510,1299.3882
トマト,20220512,1294.5758
トマト,20220513,1294.4845
トマト,20220514,1294.4845
トマト,20220516,1294.1486
トマト,20220517,1293.5669
トマト,20220519,1293.5669
トマト,20220520,1293.5669
トマト,20220521,1293.5669
トマト,20220523,1296.0084
トマト,20220524,1297.168
トマト,20220526,1297.6571
トマト,20220527,1296.4314
トマト,20220528,1296.4314
トマト,20220530,1295.9214
トマト,20220531,1296.5836
ピーマン,20220502,76.273926
ピーマン,20220506,76.32494
ピーマン,20220507,76.18877
ピーマン,20220509,75.3918
ピーマン,20220510,75.01401
ピーマン,20220512,74.64834
ピーマン,20220513,74.55695
ピーマン,20220514,74.55695
ピーマン,20220516,74.54688
ピーマン,20220517,73.979324
ピーマン,20220519,73.9525
ピーマン,20220520,73.89226
ピーマン,20220521,73.76328
ピーマン,20220523,73.520676
ピーマン,20220524,73.272835
ピーマン,20220526,73.30167
ピーマン,20220527,73.32622
ピーマン,20220528,73.32622
ピーマン,20220530,72.99525
ピーマン,20220531,73.20349
じゃがいも,20220502,2539.0815
じゃがいも,20220506,2561.4438
じゃがいも,20220507,2559.647
じゃがいも,20220509,2556.0652
じゃがいも,20220510,2557.0332
じゃがいも,20220512,2555.9155
じゃがいも,20220513,2557.8923
じゃがいも,20220514,2561.5396
じゃがいも,20220516,2562.4373
じゃがいも,20220517,2574.7122
じゃがいも,20220519,2574.7122
じゃがいも,20220520,2574.7122
じゃがいも,20220521,2574.7122
じゃがいも,20220523,2574.7122
じゃがいも,20220524,2574.7122
じゃがいも,20220526,2573.8003
じゃがいも,20220527,2571.482
じゃがいも,20220528,2569.9517
じゃがいも,20220530,2541.1484
じゃがいも,20220531,2539.7754
なましいたけ,20220502,123.5673
なましいたけ,20220506,123.639015
なましいたけ,20220507,123.251175
なましいたけ,20220509,123.251175
なましいたけ,20220510,123.13828
なましいたけ,20220512,123.13828
なましいたけ,20220513,123.13828
なましいたけ,20220514,123.13828
なましいたけ,20220516,123.13828
なましいたけ,20220517,123.14459
なましいたけ,20220519,123.15639
なましいたけ,20220520,123.26268
なましいたけ,20220521,123.22471
なましいたけ,20220523,123.22471
なましいたけ,20220524,123.24746
なましいたけ,20220526,123.25883
なましいたけ,20220527,123.25883
なましいたけ,20220528,123.25883
なましいたけ,20220530,123.341446
なましいたけ,20220531,123.31517
セルリー,20220502,2721.5227
セルリー,20220506,2729.0881
セルリー,20220507,2742.803
セルリー,20220509,2750.6396
セルリー,20220510,2752.33
セルリー,20220512,2751.366
セルリー,20220513,2741.1702
セルリー,20220514,2741.1702
セルリー,20220516,2699.3635
セルリー,20220517,2691.6902
セルリー,20220519,2663.9387
セルリー,20220520,2635.8354
セルリー,20220521,2635.8354
セルリー,20220523,2641.5544
セルリー,20220524,2637.9204
セルリー,20220526,2637.9204
セルリー,20220527,2638.6858
セルリー,20220528,2637.6265
セルリー,20220530,2652.3228
セルリー,20220531,2657.0457
そらまめ,20220502,2378.3833
そらまめ,20220506,2382.356
そらまめ,20220507,2368.4868
そらまめ,20220509,2369.4187
そらまめ,20220510,2347.4136
そらまめ,20220512,2323.5967
そらまめ,20220513,2328.4587
そらまめ,20220514,2339.1418
そらまめ,20220516,2172.648
そらまめ,20220517,2114.033
そらまめ,20220519,2095.7551
そらまめ,20220520,2082.5586
そらまめ,20220521,2071.675
そらまめ,20220523,2098.0251
そらまめ,20220524,2100.87
そらまめ,20220526,2140.2874
そらまめ,20220527,2136.2126
そらまめ,20220528,2143.4836
そらまめ,20220530,2224.8687
そらまめ,20220531,2222.2947
ミニトマト,20220502,131.85387
ミニトマト,20220506,131.52518
ミニトマト,20220507,131.49156
ミニトマト,20220509,131.53107
ミニトマト,20220510,131.53107
ミニトマト,20220512,132.54123
ミニトマト,20220513,131.98154
ミニトマト,20220514,132.02367
ミニトマト,20220516,130.50519
ミニトマト,20220517,130.48462
ミニトマト,20220519,130.36888
ミニトマト,20220520,130.20026
ミニトマト,20220521,130.24606
ミニトマト,20220523,130.19296
ミニトマト,20220524,130.29195
ミニトマト,20220526,130.24504
ミニトマト,20220527,130.24504
ミニトマト,20220528,130.39137
ミニトマト,20220530,130.61388
ミニトマト,20220531,130.72466
